age	weight	height	attr	sex	horm	mearche	hetero	steady	looking	number_sex1	number_sex2	number_sex3	SOI1	SOI2	SOI3	SOI4	SOI5	SOI6	scan1	scan2	scan3	scan4	scan5	scan6	scan7	scan8	scan9	scan10
19	73	185	8	1	NA	NA	3	2	3	1	1	1	4	4	2	3	2	2	3	3	4	3	3	5	6	3	6	3
19	120	180	4	2	1	14	2	2	2	2	2	1	5	4	1	3	3	2	4	1	1	8	8	8	4	8	3	8
18	75	175	6	1	NA	NA	4	2	1	1	1	1	2	2	2	3	2	2	3	4	5	3	5	6	5	4	4	5
20	64	176	7	1	NA	NA	1	2	2	4	4	5	5	5	1	4	4	4	4	4	4	5	5	3	3	5	3	6
19	51	152	7	2	1	13	1	1	NA	2	1	1	5	1	5	2	1	1	5	6	4	4	3	3	3	3	4	5
28	63	174	6	2	1	14	1	1	NA	2	1	1	3	2	4	3	2	2	6	4	4	3	5	3	5	3	3	5
19	75	187	8	1	NA	NA	1	2	2	1	1	1	5	3	1	4	4	2	6	2	6	8	5	3	2	8	2	5
21	62	170	7	1	NA	NA	1	1	NA	2	1	1	5	3	2	2	2	2	4	3	5	4	4	4	3	5	4	5
22	60	176	7	2	1	13	1	1	NA	2	1	3	2	2	2	2	3	2	4	5	4	3	3	2	3	5	2	5
23	75	178	7	2	2	14	1	1	NA	2	1	1	4	2	4	3	2	3	4	3	4	2	5	5	3	3	6	6
25	58	168	7	2	2	12	1	1	NA	2	3	3	3	3	2	2	2	2	4	4	4	5	5	4	4	5	4	5
36	76	182	7	1	NA	NA	1	1	NA	2	1	2	4	4	1	4	2	3	1	5	6	7	7	2	1	4	2	6
21	50	160	4	2	2	12	4	2	3	1	1	1	4	1	3	1	1	1	6	3	3	3	5	6	7	7	4	5
25	67	168	7	2	1	13	1	1	NA	2	3	1	3	1	3	1	1	1	3	6	2	3	2	2	7	6	4	6
34	60	171	7	2	1	12	1	1	NA	2	1	3	2	3	1	3	2	3	5	6	4	5	5	4	4	6	3	7
19	57	165	8	2	1	16	1	1	NA	2	3	2	2	3	4	2	1	2	8	1	1	1	1	8	1	8	1	1
19	63	175	7	2	1	12	1	2	1	1	1	1	5	3	3	5	3	2	3	4	5	4	5	6	3	4	4	4
22	54	168	7	2	1	15	1	1	NA	2	1	1	4	3	2	1	1	1	4	5	3	5	4	4	5	5	4	5
20	75	178	7	1	NA	NA	1	1	NA	2	2	2	4	4	2	3	2	2	3	6	4	4	6	2	4	5	6	6
20	53	177	8	1	NA	NA	1	2	1	1	1	1	4	3	3	2	3	2	3	3	6	4	3	6	6	3	6	4
24	70	162	8	2	1	11	1	1	NA	2	3	3	5	4	1	4	3	3	7	1	1	1	6	6	6	5	4	5
20	63	173	6	2	2	12	1	2	1	1	1	1	2	1	4	1	1	1	4	4	5	3	5	3	6	5	4	4
20	80	177	7	1	NA	NA	3	1	NA	3	2	1	2	1	3	2	1	1	4	5	4	5	3	2	4	6	3	2
20	47	174	9	2	1	14	1	1	NA	2	1	1	2	1	5	1	1	1	3	6	6	6	3	3	3	4	2	6
25	65	183	7	1	NA	NA	1	2	2	1	1	1	5	5	2	5	3	3	2	5	5	6	6	1	1	4	2	6
23	68	176	7	2	1	15	1	2	1	2	1	2	5	4	2	5	3	4	7	2	4	3	6	5	7	6	4	6
21	61	173	7	2	2	14	2	2	2	2	3	3	4	4	2	3	3	2	3	5	3	6	6	6	3	4	3	4
23	95	198	5	1	NA	NA	1	1	NA	2	1	2	5	5	1	5	5	5	2	7	7	7	7	3	2	2	2	6
21	55	168	8	2	1	12	1	1	NA	2	1	1	4	1	5	1	1	1	3	2	1	1	4	4	4	3	4	4
23	72	168	5	2	1	12	1	1	NA	2	3	4	5	2	1	2	2	1	2	7	5	4	6	6	2	6	4	6
21	53	168	8	2	1	13	1	1	NA	2	2	2	4	2	4	1	1	1	3	2	2	2	6	6	6	5	4	6
65	102	185	7	1	NA	NA	1	1	NA	2	3	3	4	4	3	3	3	3	7	2	4	4	2	3	3	5	3	5
20	68	171	5	2	1	12	1	1	NA	2	1	1	4	3	4	2	1	1	6	4	4	2	5	4	5	6	3	6
19	66	162	7	2	1	14	1	2	1	1	2	2	5	3	4	4	3	2	4	4	3	3	4	3	6	6	3	6
21	65	161	4	2	1	11	1	1	NA	2	1	1	1	1	5	2	1	1	3	5	4	3	2	2	3	4	3	7
19	75	188	7	1	NA	NA	1	2	1	1	1	1	4	2	3	3	2	2	4	3	6	5	6	7	3	6	7	3
20	55	164	6	1	NA	NA	1	2	3	2	2	1	5	3	4	4	3	2	3	4	5	4	6	5	3	6	6	5
18	67	174	6	2	2	14	1	2	1	1	1	1	3	3	4	3	2	2	5	4	4	3	3	4	3	5	2	5
23	50	163	8	2	1	14	1	2	1	2	2	3	4	2	4	4	3	1	3	3	2	6	2	3	4	5	4	6
21	47	171	7	2	1	13	1	2	3	2	1	1	5	4	2	3	3	2	3	2	2	3	5	3	4	7	3	6
18	82	186	8	1	NA	NA	1	2	1	1	1	1	3	4	3	3	2	2	2	3	3	2	6	4	3	5	3	3
23	80	170	3	1	NA	NA	3	1	NA	2	3	3	4	4	1	5	4	4	3	3	4	7	6	3	2	4	4	5
20	49	172	5	2	1	16	1	1	NA	2	2	1	2	1	4	1	1	1	5	4	5	4	4	4	3	4	4	5
21	65	187	4	1	NA	NA	1	1	NA	2	2	1	4	2	4	1	2	1	3	3	4	5	6	3	4	4	5	5
45	91	174	6	1	NA	NA	3	1	NA	2	5	4	5	5	1	2	2	3	6	4	4	4	4	5	5	5	5	4
19	55	165	6	2	2	15	1	2	1	1	1	1	2	1	5	4	2	2	4	2	3	2	3	3	2	3	4	5
20	64	165	6	2	1	13	1	2	2	2	1	2	4	4	1	3	3	3	4	2	4	3	5	5	4	6	4	4
18	53	166	7	2	1	15	1	1	NA	2	2	1	4	4	2	2	2	2	4	3	4	3	3	6	6	6	4	6
21	74	181	6	1	NA	NA	3	2	2	1	1	1	4	2	3	4	3	4	6	3	3	2	1	7	7	5	6	4
21	50	160	7	2	1	12	1	1	NA	2	1	1	2	1	3	1	1	1	7	1	6	1	4	6	7	6	4	2
19	46	158	5	2	1	13	1	2	3	1	1	1	3	3	3	4	2	4	4	6	4	4	4	4	3	5	4	4
24	65	197	6	1	NA	NA	1	1	NA	2	3	3	5	5	2	2	2	2	3	6	7	4	6	3	2	3	2	5
17	65	185	7	1	NA	NA	3	2	1	1	1	1	4	3	1	3	4	2	6	4	3	3	2	6	7	5	5	3
18	52	160	5	2	2	13	1	1	NA	2	1	1	3	2	5	1	1	1	5	4	4	4	5	5	5	4	5	4
39	70	158	3	2	1	11	1	1	NA	2	1	1	2	1	3	3	2	1	2	2	2	7	2	1	1	8	5	8
21	48	160	7	2	2	14	3	2	3	1	1	1	4	2	2	1	1	1	8	1	1	1	8	8	8	8	1	8
24	68	178	7	1	NA	NA	1	2	1	2	2	2	1	1	4	2	2	1	7	2	2	4	2	7	7	6	7	2
23	56	172	5	2	1	11	1	2	2	3	5	5	5	5	2	3	3	2	2	2	4	2	2	5	2	6	2	2
19	53	176	7	2	1	14	1	1	NA	2	2	1	3	2	2	2	2	1	4	4	4	8	5	1	5	4	4	8
19	54	167	7	2	1	12	1	1	NA	4	2	4	4	2	3	2	1	1	5	3	2	3	3	5	5	5	2	6
31	70	178	8	2	1	11	1	1	NA	2	2	2	5	5	2	2	2	2	1	5	1	1	6	5	8	5	4	5
21	65	174	7	1	NA	NA	1	1	NA	2	1	1	2	3	3	3	1	2	1	1	7	7	8	1	2	2	1	8
21	51	157	7	2	1	14	1	1	NA	3	3	1	4	3	2	2	1	1	5	4	2	2	2	5	7	7	8	8
25	52	168	6	2	1	11	1	2	3	1	1	1	5	2	5	3	2	2	3	5	4	3	4	5	3	5	4	5
21	57	161	6	2	1	11	2	2	3	2	3	3	5	5	1	2	2	3	5	4	6	7	4	5	4	5	3	5
26	65	155	3	2	1	11	1	2	1	1	1	1	2	2	4	3	2	2	6	2	2	2	4	5	6	5	4	7
27	78	194	7	1	NA	NA	1	1	NA	2	1	1	1	1	5	1	1	1	1	1	1	6	7	5	2	5	2	6
20	60	170	8	2	1	12	1	1	NA	2	1	1	4	2	4	2	2	1	6	4	3	2	4	3	5	6	3	6
22	55	168	7	2	1	14	1	1	NA	2	3	3	5	4	1	2	2	1	1	3	2	1	4	5	7	8	1	6
24	60	175	7	2	1	13	2	1	NA	3	2	2	4	2	2	2	2	2	3	7	3	3	3	2	7	5	2	7
22	77	150	5	2	1	12	1	2	3	1	1	1	4	2	4	1	1	1	3	5	4	3	4	3	5	3	3	5
35	85	188	8	1	NA	NA	1	1	NA	2	3	3	4	4	1	2	2	1	2	6	4	7	5	1	2	5	6	6
18	78	184	7	1	NA	NA	1	2	3	2	1	1	2	4	2	4	2	1	4	5	3	3	5	5	6	4	6	2
24	65	176.5	7	1	NA	NA	1	2	1	1	1	1	4	2	4	5	2	5	4	7	3	6	4	5	4	3	4	6
21	95	201	8	1	NA	NA	1	1	NA	2	3	3	4	3	3	2	1	1	2	1	2	5	1	3	7	6	7	4
47	82	183	7	1	NA	NA	1	1	NA	2	3	3	5	5	1	4	2	2	4	4	4	3	5	4	3	4	4	4
20	62	173	7	1	NA	NA	1	1	NA	2	3	1	2	2	1	3	3	2	3	2	6	4	6	4	2	6	5	6
26	66	178	4	2	2	13	1	2	1	1	1	1	3	3	4	5	3	2	7	4	4	2	5	2	6	6	4	7
25	73	175	5	2	1	11	1	1	NA	1	3	4	3	4	2	2	2	2	3	3	4	4	6	6	3	5	3	5
18	59	167	7	2	1	12	1	1	NA	2	1	1	2	2	4	2	1	1	5	5	6	5	3	3	3	2	2	5
25	73	168	6	2	1	14	1	2	1	2	1	2	3	1	2	3	2	1	6	4	5	3	5	6	5	7	3	7
22	63	165	6	2	1	13	1	2	1	1	1	1	3	3	5	1	2	2	5	3	4	4	4	6	4	6	3	3
21	66	169	6	2	1	13	1	1	NA	3	2	3	5	4	2	2	2	2	2	1	2	2	6	1	4	7	3	7
24	80	191	6	2	2	16	1	2	1	1	1	1	3	4	4	3	2	2	5	4	3	3	4	4	3	6	3	5
20	67	171	4	1	NA	NA	2	2	1	1	1	1	4	4	2	4	2	2	4	5	4	3	5	5	4	6	3	6
28	65	163	4	2	2	11	1	2	1	1	1	1	2	2	3	4	4	3	4	2	1	3	5	5	4	4	2	4
23	79	179	7	1	NA	NA	1	2	1	1	1	1	2	2	2	4	4	1	1	4	4	1	8	1	1	8	8	8
22	78	171	3	2	1	14	1	1	NA	2	1	1	4	2	3	1	2	2	6	2	3	6	3	2	3	6	3	6
19	57	174	8	1	NA	NA	1	2	1	1	1	2	4	5	1	5	4	5	7	2	8	7	7	1	1	8	1	8
19	51	159	7	2	1	14	1	2	2	3	5	4	5	5	3	4	4	5	4	1	1	1	1	1	8	8	1	1
19	54	160	6	2	1	13	1	2	1	2	1	1	2	3	2	2	3	2	5	4	4	4	4	5	6	5	4	5
26	65	165	8	2	2	12	1	1	NA	2	1	1	5	4	2	2	1	1	5	4	6	3	5	4	2	5	3	6
19	56	166	3	2	1	13	2	1	NA	2	1	1	4	3	3	3	1	3	2	5	6	2	2	3	5	4	3	6
20	64	171	6	2	1	11	1	1	NA	3	1	1	2	2	5	3	2	2	4	5	3	3	4	6	6	6	3	5
34	78.3	179	8	2	1	14	1	2	1	3	1	3	2	2	3	3	3	1	3	2	2	3	8	3	8	3	3	8
24	59	168	7	2	1	16	1	1	NA	2	2	2	4	4	3	3	2	1	4	4	3	2	1	4	4	5	3	7
21	60	163	6	2	1	13	1	1	NA	2	2	1	2	1	4	2	1	1	3	6	4	5	4	7	5	2	4	6
24	51	163	7	2	1	14	1	1	NA	2	1	1	3	1	4	2	1	1	7	2	1	7	1	1	5	7	1	7
62	81	165	7	2	2	11	1	1	NA	2	3	2	3	2	2	3	2	2	3	4	3	3	5	4	3	6	3	7
24	65	173	6	2	1	14	1	1	NA	2	3	2	5	4	2	4	2	3	2	5	3	6	3	5	6	3	3	6
26	72	173	8	2	1	15	1	1	NA	2	2	1	4	4	2	3	3	1	6	3	2	2	7	7	7	6	3	1
24	53	158	6	2	1	12	1	1	NA	2	1	1	4	1	4	2	2	1	4	7	5	2	4	3	3	5	4	3
22	69	166	6	2	1	12	1	1	NA	2	1	1	5	1	5	1	1	1	5	2	1	3	5	6	3	8	1	8
21	62	172	9	1	NA	NA	1	2	1	1	1	1	3	3	2	4	3	3	4	3	2	2	4	2	4	7	2	7
20	63	181	7	1	NA	NA	1	2	1	3	1	1	5	5	2	5	3	3	2	2	1	1	8	1	1	5	2	5
37	65	182	6	1	NA	NA	3	1	NA	4	5	5	5	5	1	4	4	5	6	4	4	3	5	3	6	7	5	3
24	72	187	6	1	NA	NA	1	2	3	1	1	1	4	3	3	3	3	3	2	3	4	3	2	6	6	6	2	3
19	64	168	5	2	2	14	1	2	1	1	1	1	3	2	5	3	3	2	5	4	4	4	5	3	4	5	3	4
23	75	178	5	2	1	13	2	1	NA	4	5	5	5	5	1	2	3	2	8	1	1	1	8	1	8	8	1	8
22	78	176	4	2	2	14	2	1	NA	3	4	4	5	4	1	3	2	1	6	2	3	4	6	6	3	6	3	6
22	65	173	6	1	NA	NA	1	2	1	2	2	1	2	2	4	5	3	2	2	5	3	5	6	2	2	3	2	6
22	50	175	3	1	NA	NA	1	2	3	1	1	1	4	2	3	2	2	2	4	3	4	4	4	4	5	5	5	4
25	75	177	7	2	1	13	1	2	3	2	3	2	4	4	2	5	3	4	4	4	2	2	6	6	7	7	3	4
19	70	170	7	2	2	14	1	2	1	1	1	1	1	1	5	1	1	1	5	1	4	1	3	6	3	6	2	7
22	80	180	7	2	1	11	1	1	NA	2	1	1	2	1	4	2	2	1	5	4	4	3	5	4	6	7	4	4
22	58	171	8	2	1	12	1	1	NA	3	1	1	4	2	2	3	3	2	5	3	2	2	4	5	6	6	4	5
21	125	199	6	1	NA	NA	1	1	NA	2	1	1	3	3	2	3	2	2	3	4	4	4	5	4	3	6	5	5
19	55	167	7	2	1	11	1	1	NA	2	1	3	3	1	2	5	2	3	4	4	4	4	4	5	6	5	4	3
23	72	182	6	1	NA	NA	1	2	1	1	1	1	4	4	2	3	2	2	3	6	3	3	3	6	3	6	6	6
18	80	176	6	1	NA	NA	1	2	1	1	1	1	2	2	3	5	3	2	5	4	3	4	5	6	4	5	6	5
21	69.7	183	7	1	NA	NA	1	2	1	2	2	2	2	3	2	4	4	2	4	3	5	5	6	3	3	7	5	8
21	104	194	4	1	NA	NA	1	2	1	1	1	1	5	2	4	3	4	2	4	2	2	4	7	5	2	3	7	3
22	52	168	7	2	1	13	3	2	3	2	1	1	5	2	4	2	2	3	5	5	4	3	5	5	4	6	4	3
23	60	168	8	2	1	12	1	1	NA	3	3	3	5	5	1	3	3	2	2	5	3	2	2	4	2	7	3	6
25	69	170	6	2	1	15	1	1	NA	2	3	3	5	5	2	2	2	1	6	4	3	4	5	4	4	5	4	6
24	90	175	6	1	NA	NA	1	2	2	1	4	3	5	4	1	4	3	3	2	6	5	5	6	2	3	5	3	5
27	68	179	8	1	NA	NA	3	1	NA	4	5	5	5	5	1	3	2	4	6	3	4	4	3	5	6	4	5	3
30	85	193	7	1	NA	NA	1	1	NA	2	1	1	4	3	2	3	2	2	3	3	3	3	4	5	3	6	3	5
20	69	169	7	2	1	14	1	1	NA	2	1	1	3	2	2	1	2	1	3	4	4	2	5	7	1	8	1	8
21	74	187	8	1	NA	NA	1	1	NA	2	2	1	4	4	2	2	2	2	2	5	7	7	3	1	8	2	6	1
20	57	173	7	2	1	12	1	1	NA	2	1	1	3	1	5	1	2	2	2	1	1	7	1	1	1	8	1	8
53	119	190	2	1	NA	NA	1	1	NA	2	1	1	2	3	3	3	2	2	3	5	4	5	6	5	3	5	6	6
26	70	173	7	2	1	11	1	1	NA	2	1	1	5	1	2	3	2	2	4	3	3	3	3	6	7	7	4	7
18	70	158	4	2	1	11	3	2	1	1	1	1	4	1	4	2	1	1	2	2	4	2	6	6	2	5	3	4
22	50	167	8	2	1	13	1	1	NA	2	4	4	5	3	4	4	3	5	2	3	3	1	2	4	6	7	4	7
18	55	170	7	1	NA	NA	1	2	1	1	1	1	3	3	2	1	1	1	3	6	4	5	4	5	3	5	7	4
23	66	172	7	2	1	13	2	2	1	1	1	2	4	4	2	3	2	2	2	4	4	3	7	6	1	5	2	4
31	110	176	6	1	NA	NA	3	1	NA	1	5	5	5	5	1	2	2	1	7	1	3	1	1	5	8	6	8	3
20	59	173	7	2	1	11	2	2	3	1	3	3	4	4	2	3	2	2	5	4	6	3	4	4	6	4	3	5
18	79	183	5	1	NA	NA	1	2	1	1	1	1	4	3	2	4	3	4	4	5	4	3	3	3	2	5	3	5
23	72	163	4	2	2	11	4	1	NA	2	1	1	2	1	5	3	2	4	5	5	3	3	3	5	7	5	4	3
23	71	172	7	1	NA	NA	1	2	1	4	5	5	4	3	1	4	4	2	4	2	4	4	4	5	2	6	5	5
20	83	183	6	2	1	12	1	2	3	1	1	1	3	1	3	3	2	2	4	4	4	3	4	4	5	3	4	5
19	50	164	7	2	1	14	1	1	NA	3	1	1	5	2	5	2	1	1	5	5	5	4	4	5	4	4	4	5
29	55	170	8	2	2	13	1	1	NA	3	3	3	2	2	2	2	2	2	5	2	2	2	3	4	4	5	2	5
18	64	165	7	2	1	15	1	2	1	1	1	1	3	3	4	4	4	2	4	8	6	2	3	1	1	2	1	7
54	145	182	5	1	NA	NA	3	2	1	1	5	4	2	2	4	3	3	2	4	4	4	4	4	4	4	4	4	4
20	72	178	4	2	1	14	1	1	NA	2	2	1	5	3	2	3	2	2	3	5	3	2	3	7	4	5	2	3
21	60	170	7	2	1	12	1	2	1	2	2	3	2	2	5	4	3	3	7	3	2	4	5	7	7	7	4	5
22	58	170	7	2	1	12	1	2	1	3	2	1	3	2	2	2	2	2	6	2	2	2	4	4	3	1	3	6
22	62	178	5	2	1	12	1	1	NA	3	1	1	3	1	4	1	1	1	6	3	3	3	6	6	6	6	3	6
39	53	163	6	2	2	16	1	2	1	2	5	4	4	3	1	4	2	3	6	4	4	3	4	4	5	5	4	5
19	84	188	7	1	NA	NA	1	1	NA	2	1	1	4	4	2	3	3	3	3	3	3	6	6	3	3	3	4	5
22	68	164	7	2	1	13	1	1	NA	2	2	1	1	4	3	1	1	2	3	6	4	5	4	4	3	4	5	5
41	84	180	8	1	NA	NA	1	1	NA	2	5	5	4	4	1	2	5	4	4	4	4	4	5	6	6	5	6	2
30	71	176	7	1	NA	NA	1	1	NA	2	3	1	3	2	2	3	3	2	2	2	2	6	5	3	3	6	3	5
22	53	173	8	2	1	13	1	1	NA	2	1	1	3	2	3	3	1	1	7	6	6	6	3	3	4	3	2	3
21	59	178	8	1	NA	NA	1	2	1	1	1	1	4	4	2	4	3	3	4	3	3	6	5	3	5	6	7	4
19	72	189	6	1	NA	NA	2	2	1	1	1	1	3	3	3	3	2	2	3	3	3	2	5	3	5	6	5	3
22	75	172	6	2	1	12	1	1	NA	2	2	4	4	4	2	2	2	1	8	8	1	1	8	8	8	8	1	1
20	68	183	6	1	NA	NA	1	2	3	1	1	1	4	3	2	2	1	1	3	2	2	2	7	6	4	5	4	5
23	72	189	6	1	NA	NA	1	1	NA	2	1	1	3	2	4	3	3	2	3	3	2	1	2	6	1	4	2	6
25	68	176	7	2	NA	12	1	2	3	1	2	3	4	3	3	1	1	1	6	2	3	2	5	7	7	7	4	4
26	65	178	7	2	1	15	1	1	NA	2	2	3	2	5	2	2	2	1	3	2	3	5	4	3	2	5	4	6
21	51	176	4	1	NA	NA	1	2	1	1	1	1	2	4	3	5	3	3	3	6	4	2	3	8	3	3	3	3
18	48	163	6	2	2	13	1	2	3	1	1	1	1	1	5	1	1	2	4	5	5	6	4	4	3	3	5	5
23	62	170	8	2	2	14	1	2	2	2	1	2	5	3	2	5	4	3	6	4	4	4	5	6	4	5	4	2
20	68	175	7	2	1	14	1	2	1	4	5	5	5	3	1	3	4	4	7	2	4	2	3	7	7	2	3	5
20	49	119	7	2	1	15	1	1	NA	2	1	1	1	2	5	2	1	1	6	3	4	3	2	6	7	5	2	2
26	78	181	6	1	NA	NA	1	2	1	2	3	3	4	4	1	2	2	1	1	3	5	6	6	3	1	1	1	8
40	80	181	5	1	NA	NA	3	2	1	5	5	5	5	5	1	5	4	2	5	5	4	5	4	5	5	6	5	4
28	84	186	6	1	NA	NA	1	1	NA	2	2	1	2	1	2	2	2	2	6	2	2	6	6	8	2	8	4	3
21	96	186	7	1	NA	NA	1	1	NA	2	3	3	5	4	2	5	2	2	3	7	2	2	2	6	6	5	5	3
18	80	192	9	1	NA	NA	1	2	3	1	1	1	5	1	3	5	4	1	4	3	5	5	5	4	4	4	4	6
18	62	178.5	6	1	NA	NA	1	2	3	1	1	1	3	4	3	3	1	2	8	4	5	4	7	4	6	6	6	5
20	72	182	7	2	NA	13	1	2	1	1	1	1	5	3	3	5	4	4	3	2	2	2	4	5	4	2	2	7
21	66	180	5	1	NA	NA	1	1	NA	2	2	1	4	2	2	4	2	4	4	3	4	4	6	3	3	6	3	5
21	60	172	6	2	1	14	1	2	1	2	2	2	3	2	1	4	4	2	2	4	4	4	5	5	5	4	4	5
37	90	194	6	1	NA	NA	1	1	NA	2	5	5	5	4	4	3	2	2	4	2	5	5	6	6	3	6	7	6
23	54	163	7	2	1	11	1	1	NA	2	2	2	4	2	4	2	2	2	2	2	2	4	2	4	4	5	3	5
19	56	165	7	2	1	13	1	1	NA	3	1	2	3	3	3	1	1	1	6	3	3	3	2	3	8	7	2	1
22	48	158	7	2	1	13	1	1	NA	2	1	1	4	4	2	4	2	2	6	2	2	2	3	4	6	6	4	3
32	60	172	3	1	NA	NA	1	1	NA	2	1	2	1	1	5	4	4	4	5	2	2	5	6	5	3	6	3	6
20	60	173	7	1	NA	NA	3	2	2	3	2	3	5	2	2	4	2	1	3	2	2	4	5	3	5	5	6	2
21	70	178	1	1	NA	NA	1	2	3	1	1	1	5	4	2	2	1	3	2	2	3	3	3	4	3	6	3	5
19	57.9	172	4	2	2	14	1	2	1	1	1	1	5	2	5	4	4	2	2	3	2	3	3	3	1	3	3	2
20	75	182	5	1	NA	NA	4	2	3	1	1	1	1	1	5	2	1	1	6	3	2	2	6	6	6	5	6	5
29	76	178	6	2	1	13	1	1	NA	2	2	2	5	4	2	2	2	3	3	5	5	3	4	3	2	6	4	7
30	72	170	7	2	2	15	1	1	NA	2	2	2	4	3	2	4	1	1	6	3	5	2	4	4	3	5	2	5
20	72	168	6	2	2	11	1	2	1	1	1	1	4	2	4	2	3	3	8	2	5	4	3	5	2	6	3	6
23	58	178	8	2	1	16	1	1	NA	2	1	1	4	1	4	2	1	1	5	2	2	2	6	7	4	7	3	3
20	59	169	7	2	1	13	1	1	NA	2	3	3	5	5	1	3	3	3	3	5	4	4	4	4	5	5	4	6
41	60	164	5	2	1	13	1	1	NA	2	2	2	5	5	1	2	1	1	5	2	2	2	6	6	6	6	2	2
25	75	165	6	2	2	15	1	1	NA	2	1	1	2	1	5	1	1	1	6	6	6	6	6	3	3	6	3	6
23	51	167	7	2	2	14	1	2	3	1	1	1	1	1	5	3	1	1	7	2	2	5	3	4	2	5	3	5
21	65	172	6	2	1	11	1	2	1	2	1	1	3	1	5	1	1	1	4	7	2	8	3	7	6	7	4	5
18	60	166	6	2	2	13	1	2	3	1	1	1	1	1	5	1	1	1	4	3	2	2	7	6	3	5	1	6
26	50	160	7	2	2	13	1	2	2	4	4	4	4	4	1	3	4	3	8	8	1	1	8	8	8	8	1	1
19	54	161	3	2	1	13	1	2	1	2	3	3	4	3	2	4	3	2	5	4	4	4	5	5	5	5	4	4
23	59	165	6	2	1	15	1	2	1	3	4	4	4	3	1	4	3	2	3	2	3	4	3	4	3	6	4	6
24	67	183	7	1	NA	NA	2	2	1	1	1	1	4	4	2	4	2	3	5	3	2	2	2	6	5	2	5	2
23	59	159	6	2	1	11	1	1	NA	2	1	3	3	2	2	3	1	2	5	2	2	2	2	7	7	7	3	7
43	85	169	7	2	1	13	1	1	NA	2	5	5	5	5	1	3	3	1	3	6	6	6	2	3	4	4	6	6
23	64	167	7	2	1	15	1	2	1	2	2	1	4	3	1	2	1	1	3	3	3	5	5	6	3	5	5	6
22	58	169	6	2	1	11	4	2	3	1	1	1	2	1	5	1	1	1	3	6	6	7	2	2	2	2	2	7
22	50	159	6	2	1	15	1	1	NA	2	1	1	5	4	2	2	2	2	6	6	3	3	3	2	3	3	3	5
22	77	187	7	1	NA	NA	1	2	2	3	4	3	4	3	1	4	4	3	6	3	6	3	3	6	6	6	6	4
23	110	185	4	1	NA	NA	1	2	1	1	1	1	3	1	4	3	3	3	4	8	8	5	1	1	1	8	1	8
23	60	180	6	1	NA	NA	1	1	NA	2	3	3	4	3	2	4	1	2	2	1	1	1	7	3	6	6	2	1
28	56	174	6	2	1	12	1	1	NA	2	1	1	3	1	5	2	1	1	1	1	1	1	8	8	8	8	1	8
32	68	174	8	2	1	12	1	1	NA	2	1	1	1	2	3	3	2	2	7	3	2	2	5	6	6	4	4	6
20	85	182	6	1	NA	NA	1	2	1	1	1	1	5	5	1	4	3	4	8	1	1	1	3	7	1	5	7	7
22	53	167	6	2	2	14	3	2	3	1	1	1	4	3	3	3	2	2	6	5	5	6	6	6	6	6	5	6
20	78	169	6	1	NA	NA	1	2	1	1	1	1	3	1	5	2	4	1	6	2	5	5	6	3	2	6	2	6
20	57	163	5	2	1	12	1	2	3	1	1	1	5	5	1	4	2	3	6	6	5	2	1	7	3	3	3	7
19	65	180	6	1	NA	NA	1	2	1	1	1	1	5	4	2	3	2	1	2	6	4	3	6	4	6	4	5	3
20	70	170	7	2	1	12	1	1	NA	2	2	1	1	4	2	4	2	2	4	7	4	5	3	3	4	5	4	6
24	73	178	6	1	NA	NA	3	2	1	1	1	1	2	1	5	3	2	4	7	3	4	3	2	6	7	5	8	2
18	55	163	7	2	2	12	3	1	NA	2	2	1	4	1	4	1	1	1	3	2	2	5	4	5	3	5	3	5
22	68	197	6	1	NA	NA	1	2	1	2	1	1	5	3	2	4	3	2	3	3	3	4	2	3	2	5	4	6
23	75	178	7	2	2	15	1	2	1	1	1	1	3	2	3	2	1	2	3	2	2	1	5	6	7	7	1	6
28	65	174	6	2	2	13	1	1	NA	2	1	1	4	4	2	3	2	2	7	2	3	3	5	7	5	7	3	5
22	52	177	5	2	2	14	1	2	2	1	1	1	5	5	1	4	3	3	6	5	4	3	2	6	2	3	6	1
18	65	180	10	1	NA	NA	1	1	NA	4	5	5	5	5	1	4	5	4	2	2	6	5	2	2	1	4	2	2
22	70	165	5	2	1	14	1	2	1	1	2	1	4	2	4	3	1	2	5	5	5	4	4	3	5	3	4	5
19	58	168	7	2	1	13	1	1	NA	2	1	1	3	1	2	2	2	2	2	5	1	1	3	2	5	6	2	6
18	71	180	7	1	NA	NA	1	2	2	1	1	1	4	5	1	4	4	2	1	1	2	5	6	3	2	7	3	6
20	63	158	6	2	2	14	1	2	1	1	1	1	4	4	4	3	2	1	5	3	4	3	3	3	6	5	4	7
39	78	182	7	1	NA	NA	1	2	2	2	4	4	4	4	4	3	3	4	3	6	5	4	7	4	3	7	5	7
36	68	177	5	2	2	15	1	1	NA	2	1	1	4	1	4	2	1	1	2	4	4	2	2	3	5	5	5	5
32	69	167	7	2	1	11	1	1	NA	2	2	1	1	1	1	1	1	1	6	3	2	3	4	4	5	6	6	4
18	49	164	3	2	2	14	1	2	3	1	1	1	3	1	5	4	1	2	5	2	2	2	4	4	5	6	4	5
25	82	186	6	1	NA	NA	2	2	2	2	3	3	3	3	1	5	3	4	6	3	3	4	2	5	6	3	6	3
20	80	199	7	1	NA	NA	1	2	1	1	1	1	5	5	1	5	2	3	7	5	4	2	5	6	3	7	7	5
