age	weight	height	attr	sex	horm	mearche	hetero	steady	looking	number_sex1	number_sex2	number_sex3	SOI1	SOI2	SOI3	SOI4	SOI5	SOI6	scan1	scan2	scan3	scan4	scan5	scan6	scan7	scan8	scan9	scan10
26	87	190	8	1	NA	NA	1	2	2	5	3	5	2	4	1	4	3	3	2	6	3	5	7	2	1	4	3	8
22	60	173	7	2	1	15	1	2	1	1	1	1	3	2	3	2	1	1	5	4	3	3	4	5	5	5	4	5
24	86	178	5	1	NA	NA	1	1	NA	2	1	1	5	4	2	3	3	4	2	2	5	7	7	3	2	4	2	7
20	65	179	7	1	NA	NA	1	1	NA	2	1	1	5	5	3	4	3	3	3	2	4	5	6	4	1	3	2	6
21	66	177	5	2	2	12	1	2	1	1	1	1	2	2	4	3	3	3	4	5	4	5	5	4	5	5	4	5
19	53	170	8	2	1	13	2	1	NA	2	1	2	4	2	1	4	3	1	2	2	2	5	4	4	2	3	1	8
26	76	167	7	2	1	16	1	1	NA	2	3	1	3	4	2	3	2	1	7	5	6	6	7	2	7	7	4	6
20	50	160	6	2	2	12	1	2	1	1	1	1	1	1	5	2	1	1	6	7	6	7	3	6	2	4	3	3
21	67	167	6	2	1	14	1	1	NA	2	1	1	2	1	4	2	2	1	6	2	2	4	5	5	6	5	3	5
22	71	180	6	2	1	15	1	2	1	3	2	5	5	5	2	3	2	2	3	5	5	3	4	3	5	4	4	5
25	76	184	8	1	NA	NA	1	2	1	3	3	2	5	1	1	3	2	2	3	3	7	2	8	2	1	8	4	8
30	90	183	5	2	2	11	1	1	NA	2	1	1	3	1	4	2	1	2	6	5	2	6	7	6	3	5	3	7
32	68	163	7	2	1	12	1	1	NA	2	5	5	5	5	1	2	2	2	7	5	2	2	4	5	7	7	4	5
20	65	173	7	2	2	14	1	2	3	1	1	2	5	1	1	3	2	1	6	4	3	3	2	6	7	7	4	4
23	52	175	6	2	1	14	1	1	NA	2	1	1	4	5	5	1	1	1	4	4	3	3	3	5	6	6	5	3
19	59	168	3	2	NA	14	1	2	1	1	1	1	3	1	5	2	2	3	4	4	4	4	4	4	4	5	4	5
22	60	185	6	1	NA	NA	2	1	NA	2	2	2	5	5	1	5	4	5	7	2	3	1	4	6	7	3	7	4
20	85	183	7	1	NA	NA	1	2	2	3	3	3	4	3	2	4	4	2	3	4	4	6	4	4	4	5	3	3
45	72	182	7	2	2	16	1	1	NA	2	1	2	3	3	2	2	2	2	7	2	2	2	7	7	7	7	5	6
22	66	176	7	2	2	13	4	2	1	1	2	1	4	3	4	4	1	2	5	6	4	2	2	3	4	5	5	5
22	78	180	5	2	1	12	1	1	NA	2	5	4	4	4	2	2	2	1	4	3	2	5	5	3	6	6	3	5
21	58	171	7	2	1	14	1	2	1	2	1	1	3	2	3	4	3	1	2	1	6	6	3	5	7	5	3	5
24	75	182	6	1	NA	NA	3	1	NA	2	2	2	5	4	1	4	2	3	2	2	4	3	5	3	6	5	3	3
20	63	167	7	2	1	13	1	2	3	2	1	1	4	2	5	3	2	1	4	4	3	2	4	4	3	5	3	5
37	90	190	8	1	NA	NA	1	2	2	2	2	3	5	5	1	5	5	5	8	1	1	3	5	6	5	5	5	4
24	65	164	8	2	1	12	1	2	1	3	3	2	4	5	2	2	4	2	6	4	4	4	5	5	5	5	4	5
22	58	175	9	2	2	17	4	2	1	3	5	5	5	2	1	4	2	2	5	5	5	5	3	5	3	4	5	6
24	73	179	7	1	NA	NA	2	2	3	1	1	1	1	5	5	1	1	1	3	5	5	3	6	5	3	4	2	7
26	90	184	7	1	NA	NA	1	1	NA	2	4	3	5	5	1	4	3	3	7	3	2	2	6	2	6	6	3	3
36	66	178	7	2	2	13	1	2	3	1	1	1	1	1	5	3	1	2	2	4	2	3	3	4	5	6	3	6
19	48	152	6	2	NA	13	1	1	NA	1	1	1	4	3	3	1	1	1	6	4	3	3	2	2	7	3	7	8
22	55	170	3	1	NA	NA	1	2	1	1	1	1	3	3	4	4	1	2	3	3	4	3	5	3	2	4	3	6
24	75	175	7	1	NA	NA	1	2	2	3	5	4	5	5	1	5	5	5	1	5	1	4	8	1	1	1	1	8
23	49	164	7	2	1	16	3	2	3	1	1	1	2	2	5	4	2	1	6	4	5	3	2	7	1	4	5	5
23	52	165	7	2	1	13	1	1	NA	2	1	1	2	4	5	3	3	3	7	3	3	2	6	6	7	7	3	5
20	75	175	7	2	1	15	1	1	NA	2	3	3	5	3	2	2	2	2	3	5	3	2	1	2	2	4	6	6
22	118	179	6	1	NA	NA	1	2	1	1	1	1	3	3	2	4	2	3	3	6	3	3	6	3	3	3	3	6
21	60	167	7	2	1	11	1	2	3	1	1	1	5	4	2	4	2	2	6	4	3	2	6	7	2	7	4	7
20	61	168	6	2	2	14	4	2	3	1	1	1	3	2	2	2	1	2	2	4	4	2	2	1	3	6	3	6
